Nume,Email,"Facturare - Judet",Tip,Cui,Industrie,"Creat La"
"Best IT-Serv SRL",,,,RO15418100,,"2023-01-13 13:44:20"
"CMI Budu I.Marta Ermionia",,,,26799476,,"2023-01-13 13:44:20"
"CMI Lutescu Sebastian",,,,20414481,,"2023-01-13 13:44:20"
"CMI Melihov Raluca",,,,27778579,,"2023-01-13 13:44:20"
"Cady Auto SRL",,,,RO24883910,,"2023-01-13 13:44:20"
"Club Razelm SRL",,,,RO11322796,,"2023-01-13 13:44:20"
"Comtours SRL",,,,RO2757112,,"2023-01-13 13:44:20"
"Crinstar SRL",,,,RO10079193,,"2023-01-13 13:44:20"
"Crisalex Dent Co SRL",,,,RO2982254,,"2023-01-13 13:44:20"
"Davi ex",,,,RO7082245,,"2023-01-13 13:44:20"
"Decom Exim srl",,,,RO4803711,,"2023-01-13 13:44:20"
"Delegatii Monica Cociasu",,,,ROC018490,,"2023-01-13 13:44:20"
"Diagnost SRL",,,,RO21247381,,"2023-01-13 13:44:20"
"Dina Electronics SRL",,,,RO7249212,,"2023-01-13 13:44:20"
"Diversi Constanta",,,,RO13758148,,"2023-01-13 13:44:20"
"Electro-Dioda SRL",,,,RO2750025,,"2023-01-13 13:44:20"
"Elegant Impex SRL",,,,RO6740164,,"2023-01-13 13:44:20"
"Europroiect SRL",,,,RO11765688,,"2023-01-13 13:44:20"
"Eurotranzit 2000 SRL",,,,RO10391950,,"2023-01-13 13:44:20"
"Farmacia Dom SRL",,,,RO6430600,,"2023-01-13 13:44:20"
"Fati M. Club SRL",,,,RO1898202,,"2023-01-13 13:44:20"
"Finest SRL",,,,RO1882761,,"2023-01-13 13:44:20"
"Forte Systems SRL",,,,RO1884258,,"2023-01-13 13:44:20"
"Geomod Management SRL",,,,RO26165070,,"2023-01-13 13:44:20"
Geplast,,,,RO776885,,"2023-01-13 13:44:20"
"Gheorghe Taxi",,,,1.47062E+12,,"2023-01-13 13:44:20"
"Irish Pub srl",,,,RO755633,,"2023-01-13 13:44:20"
"Kraftadvertising SRL",,,,RO19247762,,"2023-01-13 13:44:20"
"Lascu-Bros SRL",,,,RO9862131,,"2023-01-13 13:44:20"
"Liliput Co SRL",,,,RO5981768,,"2023-01-13 13:44:20"
"Littlekids Genius SRL",,,,RO30286428,,"2023-01-13 13:44:20"
"Logic Bic SRL",,,,RO13506124,,"2023-01-13 13:44:20"
"M7 Electronics SRL",,,,RO6580136,,"2023-01-13 13:44:20"
"Medstar 2000 Clinic SRL",,,,29809507,,"2023-01-13 13:44:20"
"Megalos Turism Rezidential SRL",,,,RO36856820,,"2023-01-13 13:44:20"
"Mersin Turism SRL",,,,RO25607530,,"2023-01-13 13:44:20"
"Metropolitan SRL",,,,RO6579441,,"2023-01-13 13:44:20"
"Miron Eugen",,,,1.73113E+12,,"2023-01-13 13:44:20"
"Novitrade SRL",,,,RO150111423,,"2023-01-13 13:44:20"
"On Plonge SRL",,,,RO1889946,,"2023-01-13 13:44:20"
"Placinta Victor Laurentiu",,,,,,"2023-01-13 13:44:20"
"RADRPD Constanta",,,,RO047236,,"2023-01-13 13:44:20"
"Radiotehnica Societate Cooperativa Mestesugareasca",,,,RO1892412,,"2023-01-13 13:44:20"
"Ralverti Co SRL",,,,RO11259230,,"2023-01-13 13:44:20"
"Rel Syspro srl",,,,RO11611085,,"2023-01-13 13:44:20"
"Rise &Shine srl",,,,RO3758148,,"2023-01-13 13:44:20"
"Romania Euroest SA",,,,RO10945109,,"2023-01-13 13:44:20"
"Romania-Euroest SA",,,,RO10945109,,"2023-01-13 13:44:20"
"SC Stop SRL",,,,4473850,,"2023-01-13 13:44:20"
"SCM Medstar 2000",,,,12549151,,"2023-01-13 13:44:20"
"SCM Phoenix Eastern Medical Center",,,,11824490,,"2023-01-13 13:44:20"
"Sevda Impex SRL",,,,RO4273178,,"2023-01-13 13:44:20"
"Shasa Taxi",,,,RO6743028,,"2023-01-13 13:44:20"
"Spring prod",,,,RO5636069,,"2023-01-13 13:44:20"
"Talapan SRL",,,,RO1860470,,"2023-01-13 13:44:20"
"Tehno Med Liz SRL",,,,18269320,,"2023-01-13 13:44:20"
"The Stone Story SRL",,,,RO11771060,,"2023-01-13 13:44:20"
"Tonis Trade SRL",,,,RO6513110,,"2023-01-13 13:44:20"
"Top Design Stil SRL",,,,RO25721479,,"2023-01-13 13:44:20"
"Triton SRL",,,,RO7424364,,"2023-01-13 13:44:20"
Voila,,,,RO17931631,,"2023-01-13 13:44:20"
"Vox Mobi Lux SRL",,,,RO27261709,,"2023-01-13 13:44:20"
"Zeta Company SRL",,,,RO1883813,,"2023-01-13 13:44:20"
Zimcom,,,,RO2424320,,"2023-01-13 13:44:20"
"Briza Marii Negre srl",,,,"RO 3386527",,"2023-01-13 13:44:20"
"Alpin Star SRL",,,,RO14049896,,"2023-01-13 13:44:20"
"Laricont 2007 SRL",,,,RO21801877,,"2023-01-13 13:44:20"
"Vega Turism SA",,,,"RO 7252420",,"2023-01-13 13:44:20"
"Avicont SRL",,,,RO7635019,,"2023-01-13 13:44:20"
"Dia Litoral SRL",,,,RO28843217,,"2023-01-13 13:44:20"
"Insel SRL",,,,RO6161774,,"2023-01-13 13:44:20"
"Roxi & Ralu SRL",,,,9444139,,"2023-01-13 13:44:20"
"Something Special SRL",,,,RO33574859,,"2023-01-13 13:44:20"
"Asoc de Coaching executiv",,,,RO24270435,,"2023-01-13 13:44:20"
"Dana 95 SRL",,,,RO7657408,,"2023-01-13 13:44:20"
"Papari Turism SRL",,,,26830938,,"2023-01-13 13:44:20"
"Digit SRL",,,,RO13462095,,"2023-01-13 13:44:20"
"Fundatia Spitaliceasca ''Szent Gyorgy''",,,,8307311,,"2023-01-13 13:44:20"
"Hotel Hostel Park SA",,,,RO25608519,,"2023-01-13 13:44:20"
"Leasing Alfa SRL",,,,RO13495742,,"2023-01-13 13:44:20"
"Prestari K-2 SRL",,,,RO4403057,,"2023-01-13 13:44:20"
"CM Obstretica-Ginecologie Dr.Mar",,,,29700592,,"2023-01-13 13:44:20"
"Domo SRL",,,,RO30982810,,"2023-01-13 13:44:20"
"Gastrosport SRL",,,,41210794,,"2023-01-13 13:44:20"
Arctic,,,,RO933930,,"2023-01-13 13:44:20"
"Penitenciarul Margineni",,,,RO4280248,,"2023-01-13 13:44:20"
"Agro Optimus Direct SRL-D",,,,35866078,,"2023-01-13 13:44:20"
"Alexo Garden SRL",,,,RO17646279,,"2023-01-13 13:44:20"
Asoc.G.M.A.Booking&Management,,,,26861713,,"2023-01-13 13:44:20"
"Auto Best SRL",,,,RO914377,,"2023-01-13 13:44:20"
"Banner Com SRL",,,,RO17193585,,"2023-01-13 13:44:20"
"Chiru Com SRL",,,,RO6030604,,"2023-01-13 13:44:20"
"Durchi Elena",,,,2.83052E+12,,"2023-01-13 13:44:20"
"E-laborator Feeria",,,,RO16315943,,"2023-01-13 13:44:20"
"Emporis Networks SRL",,,,RO29823056,,"2023-01-13 13:44:20"
"Hymarco Clinique SRL",,,,30158046,,"2023-01-13 13:44:20"
"Karma Protect SRL",,,,RO23155586,,"2023-01-13 13:44:20"
"Mer Adi Impex SRL",,,,RO8062327,,"2023-01-13 13:44:20"
"N&L Prest Com SRL",,,,RO6414656,,"2023-01-13 13:44:20"
"Vistim SRL",,,,RO14119126,,"2023-01-13 13:44:20"
"Perla Carpatilor SRL",,,,RO16168974,,"2023-01-13 13:44:20"
"Robest Com SRL",,,,RO12164503,,"2023-01-13 13:44:20"
"Adacali Serv SRL",,,,42860817,,"2023-01-13 13:44:20"
"Adelaida Impex SRL",,,,RO2290768,,"2023-01-13 13:44:20"
"Aedilia Proiect SRL",,,,RO14202867,,"2023-01-13 13:44:20"
"Automobile Craiova SA",,,,RO2299988,,"2023-01-13 13:44:20"
"Autoteile SRL",,,,RO15157543,,"2023-01-13 13:44:20"
"Bellevents SRL",,,,31733893,,"2023-01-13 13:44:20"
"Big Star SRL",,,,16804940,,"2023-01-13 13:44:20"
"Blue Neon SRL",,,,RO18652333,,"2023-01-13 13:44:20"
"Cardiostim SRL",,,,36950605,,"2023-01-13 13:44:20"
Clinmedical,,,,RO6508081,,"2023-01-13 13:44:20"
"Cristus Trans SRL",,,,RO11368220,,"2023-01-13 13:44:20"
"Datomero SRL",,,,RO34141470,,"2023-01-13 13:44:20"
"Dea Pizza SRL",,,,RO31950868,,"2023-01-13 13:44:20"
"Dinulescu Lucian",,,,1.75122E+12,,"2023-01-13 13:44:20"
"Eurosoles SRL",,,,RO27348482,,"2023-01-13 13:44:20"
"Gecoop SRL",,,,RO2322479,,"2023-01-13 13:44:20"
"Hotel Jiul SA",,,,RO2308342,,"2023-01-13 13:44:20"
"Ilex Com SA",,,,RO4941102,,"2023-01-13 13:44:20"
"Inside Technologies SRL",,,,RO16854328,,"2023-01-13 13:44:20"
"Intercambio Company SRL",,,,RO10479092,,"2023-01-13 13:44:20"
"Italian Hotel srl",,,,RO11598296,,"2023-01-13 13:44:20"
"Karzuno Autoky 2014 SRL",,,,RO41186955,,"2023-01-13 13:44:20"
"Klasse Jobs Consulting SRL",,,,RO21905665,,"2023-01-13 13:44:20"
"Kyty & Vivien SRL",,,,RO31508964,,"2023-01-13 13:44:20"
"Liceul Charles Laugier",,,,4553402,,"2023-01-13 13:44:20"
"Lucaflowers SRL",,,,33440610,,"2023-01-13 13:44:20"
"Mobila Bellona SRL",,,,RO32797038,,"2023-01-13 13:44:20"
"Montero Tehnico Medicale SRL",,,,RO9937579,,"2023-01-13 13:44:20"
"Mozak SRL",,,,RO24677006,,"2023-01-13 13:44:20"
"Ogimex SRL",,,,RO6489349,,"2023-01-13 13:44:20"
"Previous Prod Com SRL",,,,RO4334364,,"2023-01-13 13:44:20"
"Rocoma Exim SRL",,,,RO9604981,,"2023-01-13 13:44:20"
"SCN Top Serv SRL-D",,,,34390579,,"2023-01-13 13:44:20"
"Sanon SRL",,,,RO3072516,,"2023-01-13 13:44:20"
"Save Pet SRL",,,,RO16179418,,"2023-01-13 13:44:20"
"Scoala Postliceala Edunet",,,,36772060,,"2023-01-13 13:44:20"
"Sharolt Group SRL",,,,RO2329841,,"2023-01-13 13:44:20"
"Sitech SRL",,,,RO3088903,,"2023-01-13 13:44:20"
"Spital Clinic CF.Craiova",,,,4332169,,"2023-01-13 13:44:20"
"Steel Construct srl",,,,Ro4334534,,"2023-01-13 13:44:20"
"Velnet SRL",,,,RO16136026,,"2023-01-13 13:44:20"
"Vivien SRL",,,,RO17239348,,"2023-01-13 13:44:20"
"XWX Mobile SRL",,,,38510228,,"2023-01-13 13:44:20"
"Spital Orasenesc Dabuleni",,,,5764980,,"2023-01-13 13:44:20"
"Domeniul Coroanei Segarcea SRL",,,,RO15022473,,"2023-01-13 13:44:20"
"Iosif Vacations Tour SRL",,,,RO30273835,,"2023-01-13 13:44:20"
"Ag.de Clasificare SGD SRL",,,,RO18765928,,"2023-01-13 13:44:20"
"Bugda Impex SRL",,,,RO5057148,,"2023-01-13 13:44:20"
"Carfin SA",,,,RO18328427,,"2023-01-13 13:44:20"
"Centrul Medical pt.Sanatate Umana SRL",,,,14146937,,"2023-01-13 13:44:20"
"Cibgomec SRL",,,,RO2157860,,"2023-01-13 13:44:20"
"Comtec SRL",,,,RO2159780,,"2023-01-13 13:44:20"
"Crescendo SRL",,,,RO2163209,,"2023-01-13 13:44:20"
"Debora SRL",,,,RO16483890,,"2023-01-13 13:44:20"
"Delta Soft SRL",,,,RO2158954,,"2023-01-13 13:44:20"
"Elsimida Com SRL",,,,RO2976937,,"2023-01-13 13:44:20"
"Enigma Com SRL",,,,RO2159305,,"2023-01-13 13:44:20"
"Hotel Brancusi",,,,RO10459990,,"2023-01-13 13:44:20"
"Lexi Star SRL",,,,RO2159941,,"2023-01-13 13:44:20"
"MCD New Progress SRL",,,,29183909,,"2023-01-13 13:44:20"
"Motobenz SRL",,,,RO10037686,,"2023-01-13 13:44:20"
"Nino Beni SRL",,,,RO14562173,,"2023-01-13 13:44:20"
"Profcenter SRL",,,,RO16244850,,"2023-01-13 13:44:20"
"Skalympex SRL",,,,RO6538468,,"2023-01-13 13:44:20"
"Altdepozit SRL",,,,RO25512901,,"2023-01-13 13:44:20"
"Arabesque SRL",,,,RO5340801,,"2023-01-13 13:44:20"
"Asoc.Suport Medical Activ",,,,28426821,,"2023-01-13 13:44:20"
"Autocara Nova SRL",,,,6497805,,"2023-01-13 13:44:20"
"Bobymara SRL",,,,RO1633426,,"2023-01-13 13:44:20"
"Bunker Oil SRL",,,,RO2480096,,"2023-01-13 13:44:20"
"Chimano Impex SRL",,,,RO1639062,,"2023-01-13 13:44:20"
"City Vision Afi Palace SRL",,,,33319929,,"2023-01-13 13:44:20"
"City Vision SRL",,,,RO29002263,,"2023-01-13 13:44:20"
"Dunarea SA",,,,RO1635346,,"2023-01-13 13:44:20"
"Filip Nicon SRL",,,,5309288,,"2023-01-13 13:44:20"
"Ivas SRL",,,,RO1646221,,"2023-01-13 13:44:20"
"Magnus Dunarea SRL",,,,RO7542637,,"2023-01-13 13:44:20"
"Mensajero SRL",,,,RO27039991,,"2023-01-13 13:44:20"
"Montelux SRL",,,,RO18420627,,"2023-01-13 13:44:20"
"Navrom Bac SRL",,,,RO12102950,,"2023-01-13 13:44:20"
"Navrom River SRL",,,,RO28425133,,"2023-01-13 13:44:20"
"Prodomus SRL",,,,RO10036206,,"2023-01-13 13:44:20"
"Pronova 2005 SRL",,,,RO18320792,,"2023-01-13 13:44:20"
"Roexpres service",,,,RO14865533,,"2023-01-13 13:44:20"
"Romero 26 IFN SRL",,,,RO26099693,,"2023-01-13 13:44:20"
SNCFR,,,,RO127328,,"2023-01-13 13:44:20"
"Staer International SA",,,,RO2643282,,"2023-01-13 13:44:20"
"Vaflomia SRL",,,,RO5515571,,"2023-01-13 13:44:20"
"Vega Company SRL",,,,RO14994708,,"2023-01-13 13:44:20"
"Laboratorium SRL",,,,RO21897589,,"2023-01-13 13:44:20"
"Roexpo Web SRL",,,,RO28740289,,"2023-01-13 13:44:20"
"John Trade International SRL",,,,RO7735042,,"2023-01-13 13:44:20"
"VLD Management SRL",,,,RO21839731,,"2023-01-13 13:44:20"
"M&M Retail SRL",,,,RO21572382,,"2023-01-13 13:44:20"
"Agan Trust SRL",,,,RO23231551,,"2023-01-13 13:44:20"
"Best Image Agency SRL",,,,RO22694728,,"2023-01-13 13:44:20"
"PFA Constantin Vasile Adrian",,,,33631091,,"2023-01-13 13:44:20"
"Dal Palas Comprest SRL",,,,RO7348852,,"2023-01-13 13:44:20"
"Ajari SRL",,,,RO26544995,,"2023-01-13 13:44:20"
Apollo,,,,RO2115104,,"2023-01-13 13:44:20"
"Arcis Gold SRL",,,,RO28923324,,"2023-01-13 13:44:20"
"Auto Pneu Service Roti SRL",,,,RO28102272,,"2023-01-13 13:44:20"
"Balex Class SR",,,,29960355,,"2023-01-13 13:44:20"
"Bavaria Sejur SRL",,,,RO29681466,,"2023-01-13 13:44:20"
"Bliss Events Delux SRL",,,,RO36061203,,"2023-01-13 13:44:20"
"Fellor SRL",,,,RO17334455,,"2023-01-13 13:44:20"
"Industrial Software",,,,RO10329907,,"2023-01-13 13:44:20"
"Micon Tihos S.R.L.",,,,RO21818682,,"2023-01-13 13:44:20"
"Neocomm SRL",,,,RO16018314,,"2023-01-13 13:44:20"
"Victor Lowe Exim SRL",,,,RO6211961,,"2023-01-13 13:44:20"
"Castrum Tehimpex",,,,RO6781300,,"2023-01-13 13:44:20"
"M&F Master Caffe",,,,RO21394900,,"2023-01-13 13:44:20"
"IF Jurca Margalina",,,,21366234,,"2023-01-13 13:44:20"
Andra&Alex,,,,RO22784634,,"2023-01-13 13:44:20"
"Focus Grafiserv SRL",,,,RO8480320,,"2023-01-13 13:44:20"
"IT Solutions Group",,,,RO14071346,,"2023-01-13 13:44:20"
"Paringul SA",,,,RO2135276,,"2023-01-13 13:44:20"
"Primera Vision SRL",,,,RO23353206,,"2023-01-13 13:44:20"
"Rapid RO SRL",,,,RO14520208,,"2023-01-13 13:44:20"
"Unirea U11A",,,,RO2135250,,"2023-01-13 13:44:20"
"VGB Company",,,,RO14710865,,"2023-01-13 13:44:20"
"Land Felix SRL",,,,RO18824137,,"2023-01-13 13:44:20"
"Pepper House SRL PL BF",,,,RO39843000,,"2023-01-13 13:44:20"
"Spital Municipal Gheorgheni",,,,4367370,,"2023-01-13 13:44:20"
"Comaren SRL",,,,RO507187,,"2023-01-13 13:44:20"
"Crown Cool SRL",,,,RO14911923,,"2023-01-13 13:44:20"
"Csiki Panorama SRL",,,,RO17521909,,"2023-01-13 13:44:20"
"Fenyo SRL",,,,RO13638885,,"2023-01-13 13:44:20"
"Gastro Service",,,,RO17628361,,"2023-01-13 13:44:20"
"Micro-Trans SRL",,,,RO514079,,"2023-01-13 13:44:20"
S-Trans-Impex,,,,RO6498401,,"2023-01-13 13:44:20"
"Top Joy",,,,RO14477370,,"2023-01-13 13:44:20"
"Trandafirul 2009",,,,RO6682039,,"2023-01-13 13:44:20"
"Trans Impex",,,,RO6498401,,"2023-01-13 13:44:20"
"Var-Soo Media SRL",,,,RO21317878,,"2023-01-13 13:44:20"
"Bordi SRL",,,,RO8430305,,"2023-01-13 13:44:20"
"Supermarket Silva",,,,RO1243601,,"2023-01-13 13:44:20"
"Transmarflemn Tulghes SRL",,,,RO508980,,"2023-01-13 13:44:20"
"Tusnad SA",,,,RO4241753,,"2023-01-13 13:44:20"
"Benluma SRL",,,,RO10757911,,"2023-01-13 13:44:20"
"Diamond Diagnostics Inc.",,,,HU0065604203,,"2023-01-13 13:44:20"
"HB Druvak",,,,,,"2023-01-13 13:44:20"
"Carla&Maria Flowers SRL",,,,RO32516531,,"2023-01-13 13:44:20"
"Cressise SRL",,,,RO22840009,,"2023-01-13 13:44:20"
"Katika Style SRL",,,,RO25902963,,"2023-01-13 13:44:20"
"Miva Foto SRL",,,,RO6559614,,"2023-01-13 13:44:20"
"Vatra Neamului SRL",,,,RO16998072,,"2023-01-13 13:44:20"
"Imaf Prod Com SRL",,,,RO15910853,,"2023-01-13 13:44:20"
"Eric Restaurante SRL",,,,RO35291956,,"2023-01-13 13:44:20"
"Kago Company SRL",,,,RO24860312,,"2023-01-13 13:44:20"
"T&I Coffe Chocolate SRL",,,,RO30262755,,"2023-01-13 13:44:20"
"Atelier De Web SRL",,,,30278832,,"2023-01-13 13:44:20"
"Axel & Co Import-Export SRL",,,,RO5222415,,"2023-01-13 13:44:20"
"Gas Station Sun Route SRL",,,,RO27615504,,"2023-01-13 13:44:20"
"Angst Ro SA",,,,RO1594912,,"2023-01-13 13:44:20"
"CMI Galis Olteanu Rodica",,,,20088636,,"2023-01-13 13:44:20"
"Artima SA",,,,RO11735628,,"2023-01-13 13:44:20"
"Atelio Market 93 SRL",,,,RO28057171,,"2023-01-13 13:44:20"
"Bardi Auto SRL",,,,RO12966353,,"2023-01-13 13:44:20"
"Avant Maris Medical SRL",,,,RO33368760,,"2023-01-13 13:44:20"
"UM 0629",,,,27681036,,"2023-01-13 13:44:20"
"Ama 14 Trading SRL",,,,RO18632417,,"2023-01-13 13:44:20"
"Est Oil Consulting SRL",,,,RO31278903,,"2023-01-13 13:44:20"
"TZMO Romania SRL",,,,9693687,,"2023-01-13 13:44:20"
"Sensiblu SRL",,,,RO9378655,,"2023-01-13 13:44:20"
"Agrosud Design SRL",,,,RO29537844,,"2023-01-13 13:44:20"
"Unic Brands SRL",,,,RO25762363,,"2023-01-13 13:44:20"
"JVJ Petrolcom SRL",,,,RO9602670,,"2023-01-13 13:44:20"
"Geany Impex SRL",,,,RO18489970,,"2023-01-13 13:44:20"
"Adi Star Impex SRL",,,,RO14558318,,"2023-01-13 13:44:20"
"Almanios Basic SRL",,,,RO25501872,,"2023-01-13 13:44:20"
"Auto Soft Service Roti SRL",,,,RO15574770,,"2023-01-13 13:44:20"
"Bravo 2005 SRL",,,,RO17227904,,"2023-01-13 13:44:20"
"Fogliani Romania SRL",,,,RO15404058,,"2023-01-13 13:44:20"
"Masta Profile Romania SRL",,,,RO32191383,,"2023-01-13 13:44:20"
"Milenium Expo 2000 SRL",,,,RO12861985,,"2023-01-13 13:44:20"
"Star Electris SRL",,,,RO18014246,,"2023-01-13 13:44:20"
"Kika Mobilier SRL",,,,RO19706741,,"2023-01-13 13:44:20"
"Print Com SRL",,,,RO16740846,,"2023-01-13 13:44:20"
"IB Cargo SRL",,,,RO23163759,,"2023-01-13 13:44:20"
"CMI Ionica G.Carmen Silvia",,,,19460166,,"2023-01-13 13:44:20"
"II Ceocea Elena",,,,29772963,,"2023-01-13 13:44:20"
"LHD Trans SRL",,,,RO22642532,,"2023-01-13 13:44:20"
"DSC Expres Logistic SRL",,,,RO29255819,,"2023-01-13 13:44:20"
"Dacris Impex SRL",,,,RO5740077,,"2023-01-13 13:44:20"
"KKK Expeditie&Tractare SRL",,,,43551437,,"2023-01-13 13:44:20"
"Niconsulting Technics",,,,RO18448164,,"2023-01-13 13:44:20"
"Thelos Lux SRL",,,,RO15380188,,"2023-01-13 13:44:20"
"Letcan Livia Carmen",,,,,,"2023-01-13 13:44:20"
"SIA System Trading Co SRL",,,,25164467,,"2023-01-13 13:44:20"
"Action C Prod Impex SRL",,,,RO7054849,,"2023-01-13 13:44:20"
"Bio Service SRL",,,,RO5126701,,"2023-01-13 13:44:20"
"Cargus SRL",,,,RO3541906,,"2023-01-13 13:44:20"
"Har Spedition",,,,RO22842581,,"2023-01-13 13:44:20"
"_Urgent Cargus SA",,,,RO3541906,,"2023-01-13 13:44:20"
"Fereastra SUKI SRL",,,,RO25189801,,"2023-01-13 13:44:20"
"Docu Print SRL",,,,RO16903706,,"2023-01-13 13:44:20"
"Maria Construct Matteo SRL",,,,RO21211515,,"2023-01-13 13:44:20"
"RO Freight Forwarders SRL",,,,RO38263497,,"2023-01-13 13:44:20"
"Alpha Rocas SA",,,,RO4339914,,"2023-01-13 13:44:20"
"Biotehnos SA",,,,RO523,,"2023-01-13 13:44:20"
"C.N.T.A.R. Tarom SA",,,,RO477647,,"2023-01-13 13:44:20"
"CFR Transauto SA",,,,RO11564110,,"2023-01-13 13:44:20"
"Casa Romaneasca -Romanian HouseSRL",,,,RO11508722,,"2023-01-13 13:44:20"
"Dnata Catering SA",,,,RO4339914,,"2023-01-13 13:44:20"
"Eurofast Continental Solutions SRL",,,,39135160,,"2023-01-13 13:44:20"
"Finestore Distribution SRL",,,,RO33364695,,"2023-01-13 13:44:20"
Kamino,,,,RO21443396,,"2023-01-13 13:44:20"
"Manufaktura Cafe&Bistro SRL",,,,RO33529726,,"2023-01-13 13:44:20"
"Millenium Pro Design SRL",,,,RO12098582,,"2023-01-13 13:44:20"
"Sfinx SRL",,,,RO14492744,,"2023-01-13 13:44:20"
"Siramed SRL",,,,RO1572531,,"2023-01-13 13:44:20"
"Wizz Air Hungary Otopeni RO",,,,RO26621427,,"2023-01-13 13:44:20"
Yourhotels,,,,RO10147867,,"2023-01-13 13:44:20"
"Aroma Prodcom SRL",,,,RO15062800,,"2023-01-13 13:44:20"
"Edan Imuno Sistem SRL",,,,RO28951405,,"2023-01-13 13:44:20"
"Golden Rainbow SRL",,,,RO33287754,,"2023-01-13 13:44:20"
"Papy Auto Service SRL",,,,RO26504001,,"2023-01-13 13:44:20"
"Alex Grup Impex Company SRL",,,,RO16617313,,"2023-01-13 13:44:20"
"Alymarky Help Com SRL",,,,RO21337042,,"2023-01-13 13:44:20"
"Banesanu Emilian",,,,1.75023E+12,,"2023-01-13 13:44:20"
"Diffservicii SRL",,,,RO25478974,,"2023-01-13 13:44:20"
"El Unico Paradis SRL",,,,RO13915420,,"2023-01-13 13:44:20"
"Jad Enterprise SRL",,,,RO34239259,,"2023-01-13 13:44:20"
"Ozne Serv SRL",,,,RO30139095,,"2023-01-13 13:44:20"
"Rodi Serv 2003 SRL",,,,RO15079577,,"2023-01-13 13:44:20"
"Simo Voyage SRL",,,,RO19178158,,"2023-01-13 13:44:20"
"Vip Party SRL",,,,RO36622101,,"2023-01-13 13:44:20"
"Eden Garden SRL",,,,RO17641751,,"2023-01-13 13:44:20"
"Eco Fresh Operations SRL",,,,RO34421780,,"2023-01-13 13:44:20"
"Harbuz Liviu",,,,,,"2023-01-13 13:44:20"
"PFA Dumitrescu Adela.Cristian",,,,32163596,,"2023-01-13 13:44:20"
"Piccadilly Club SRL",,,,RO16900882,,"2023-01-13 13:44:20"
"Synmathlife SRL",,,,37404016,,"2023-01-13 13:44:20"
"Synmedom SRL",,,,RO38328308,,"2023-01-13 13:44:20"
"Express Clearance Consult SRL",,,,RO40175788,,"2023-01-13 13:44:20"
"Organic Fresh Food SRL",,,,RO30642738,,"2023-01-13 13:44:20"
A.V.A.M.SRL,,,,RO14756056,,"2023-01-13 13:44:20"
"Asteria Catering SRL",,,,34001809,,"2023-01-13 13:44:20"
"Bogram Crisram SRL",,,,RO28170560,,"2023-01-13 13:44:20"
"Cripet Service SRL",,,,RO5572810,,"2023-01-13 13:44:20"
"Deltra Celes SRL",,,,RO14202468,,"2023-01-13 13:44:20"
"Diotis Agrotrans SRL",,,,RO27006,,"2023-01-13 13:44:20"
"Ecoprofesional Frig SRL",,,,RO18297177,,"2023-01-13 13:44:20"
"Euromaster Tyre&Services Romania SA",,,,RO25872595,,"2023-01-13 13:44:20"
"Exelixis Motorsport SRL",,,,RO25170396,,"2023-01-13 13:44:20"
"Fitomat Dual SRL",,,,30799806,,"2023-01-13 13:44:20"
"Fundatia ''Pretuieste Viata''",,,,23295261,,"2023-01-13 13:44:20"
"Midagio Boutique SRL",,,,30029793,,"2023-01-13 13:44:20"
"Porsche Inter Auto Romania SRL",,,,RO22188461,,"2023-01-13 13:44:20"
"Rin Hotel Management SRL",,,,RO24351947,,"2023-01-13 13:44:20"
"Siba Best SRL",,,,30039967,,"2023-01-13 13:44:20"
"Toptehnic SRL",,,,RO33003020,,"2023-01-13 13:44:20"
"Ungureanu Ana-Maria",,,,2.86091E+12,,"2023-01-13 13:44:20"
"Unitrac Logistic SRL",,,,RO23264044,,"2023-01-13 13:44:20"
"Bonus SRL",,,,RO11386269,,"2023-01-13 13:44:20"
"ACCPT Jud.Ialomita",,,,14236800,,"2023-01-13 13:44:20"
"Admet  SRL",,,,RO6900141,,"2023-01-13 13:44:20"
"Asociatia E Pluribus Unum",,,,27285180,,"2023-01-13 13:44:20"
"Axor Exim SRL",,,,RO9850943,,"2023-01-13 13:44:20"
"Duo Manager Com SRL",,,,RO5168057,,"2023-01-13 13:44:20"
"Electro Service Servicii Pram SRL",,,,41680982,,"2023-01-13 13:44:20"
"Electroserv & Security SRL",,,,24793264,,"2023-01-13 13:44:20"
"Lacosta SRL",,,,RO15781023,,"2023-01-13 13:44:20"
"Mobila SA",,,,RO2071776,,"2023-01-13 13:44:20"
"Sarapac Impex SRL",,,,RO7658462,,"2023-01-13 13:44:20"
"I.F.Hincu D.Maria",,,,20905950,,"2023-01-13 13:44:20"
" SPN Coste Stefan si asociatii",,,,RO20034350,,"2023-01-13 13:44:20"
AIB,,,,RO13509570,,"2023-01-13 13:44:20"
"Acanta SRL",,,,RO4413697,,"2023-01-13 13:44:20"
"Agentia OSC srl",,,,Ro13611073,,"2023-01-13 13:44:20"
"Agentia de marketing Eva Andreevici SRL",,,,30548820,,"2023-01-13 13:44:20"
"Alila SRL",,,,RO1966412,,"2023-01-13 13:44:20"
"Ambro SRL",,,,1970189,,"2023-01-13 13:44:20"
"Anoa SRL",,,,RO32369988,,"2023-01-13 13:44:20"
"Aquator SRL",,,,RO15651244,,"2023-01-13 13:44:20"
"Arania Tourism SRL",,,,RO34050666,,"2023-01-13 13:44:20"
"Arcadia Hospital SRL",,,,24948610,,"2023-01-13 13:44:20"
