Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Instalatre analizor Pathfast Pv.5610",,,,,,2022-09-06,,,
"Ridicare echipament de electrochirurgie ",,,,,,2022-09-06,,,
"Predare ventilator dupa reparatie si verificare. PV.2528",,,,,,2022-09-06,,,
"Predare analizor Norma Icon 5 OP",,,,,,2022-09-06,,,
"Curatare analizor Pahtfast Pv.4277",,,,,,2022-09-06,,,
"Verificare analizor Norma Icon 5 ",,,,,,2022-09-09,,,
"Verificare sange de control QC Norma ICON5",,,,,,2022-09-09,,,
"Verificare electrocauter Valleylab FX8",,,,,,2022-09-09,,,
"Verificare electrocauter Valleylab",,,,,,2022-09-09,,,
"Verificare electrocauter Valleylab.",,,,,,2022-09-09,,,
"Verificare electrocauter Valleylab FT10",,,,,,2022-09-09,,,
"service Maxibio",,,,,,2022-09-12,,,
"mentenanta GASTAT 735",,,,,,2022-09-12,,,
"service Pathfast",,,,,,2022-09-12,,,
"service Pathfast ",,,,,,2022-09-12,,,
"service Pathfast",,,,,,2022-09-12,,,
"Predare ventilator Monnal T60 dupa reparatie Pv.6157",,,,,,2022-09-12,,,
"Reparatie echipament cu pv 5310",,,,,,2022-09-15,,,
"Predare Ptf dupa reparatie ",,,,,,2022-09-15,,,
"Reparatie analizor, eroare de FS-M cu pv 5412",,,,,,2022-09-15,,,
"Inlocuiere electrozi si cal cartridge cu Pv 5429",,,,,,2022-09-15,,,
"Revizie Pathfast ",,,,,,2022-09-15,,,
"Reparatie Echipament-eroare de injector de spalare cu Pv 5446",,,,,,2022-09-15,,,
"Revizie Valleylab ",,,,,,2022-09-15,,,
"Revizie Pathfast ",,,,,,2022-09-15,,,
"Inlocuiere electrozi si cal cartridge cu Pv 5473",,,,,,2022-09-15,,,
"Ridicare echipament pentru verificari  cu Pv 6177",,,,,,2022-09-15,,,
"Predare echipament dupa reparatie cu PV 6225",,,,,,2022-09-15,,,
"Verificare echipament cu PV 6238",,,,,,2022-09-15,,,
"Imprimanta defecta Ptf",,,,,,2022-09-15,,,
"Preluare Valleylab pentru service ",,,,,,2022-09-15,,,
"Revizie Pathfast ",,,,,,2022-09-15,,,
"Revizie electrocautere ",,,,,,2022-09-15,,,
"Revizie Pathfast ",,,,,,2022-09-15,,,
"Predare Valleylab dupa reparatie ",,,,,,2022-09-16,,,
"Revizie Pathfast ",,,,,,2022-09-16,,,
"PMT fitting error",,,,,,2022-09-16,,,
"Revizie electrocautere ",,,,,,2022-09-16,,,
"Erori calibrare Pathfast  ",,,,,,2022-09-16,,,
"Revizie Pathfast ",,,,,,2022-09-16,,,
"Revizie Pathfast ",,,,,,2022-09-16,,,
"Revizie electrocautere ",,,,,,2022-09-16,,,
"Eroare injector Norma ",,,,,,2022-09-22,,,
"Revizie Pathfast ",,,,,,2022-09-22,,,
"Revizie Pathfast ",,,,,,2022-09-22,,,
"Predare Ptf dupa reparatie ",,,,,,2022-09-22,,,
"Predare electrocauter dupa reparatie ",,,,,,2022-09-22,,,
"Revizie Pathfast ",,,,,,2022-09-22,,,
"Instalare Gastat 735",,,,,,2022-09-22,,,
"Imprimanta defecta Ptf",,,,,,2022-09-22,,,
"Predare Monnal T 60",,,,,,2022-09-22,,,
"Predare electrocauter dupa reparatie ",,,,,,2022-09-22,,,
"Revizie Pathfast ",,,,,,2022-09-22,,,
"Preluare Monnal defect ",,,,,,2022-09-22,,,
"Verificare functionare Gastat",,,,,,2022-09-22,,,
"Nebulizator defect ",,,,,,2022-09-22,,,
"Verificare functionare Ptf",,,,,,2022-09-22,,,
"Revizie Pathfast ",,,,,,2022-09-22,,,
"Eroare calibrare Ptf",,,,,,2022-09-22,,,
"Predare Spotchem ",,,,,,2022-09-22,,,
"Revizie Pathfast ",,,,,,2022-09-22,,,
"Inlocuire aparate Vita PCR ",,,,,,2022-09-22,,,
"Revizie Pathfast ",,,,,,2022-09-22,,,
"Reparatie analizor cu PV 5310",,,,,,2022-09-30,,,
"Eroarea FS-M cu PV 5412",,,,,,2022-09-30,,,
"Inlocuiere electrozi, calcartridge cu PV 5429",,,,,,2022-09-30,,,
"Reparatie echipament cu PV 5446",,,,,,2022-09-30,,,
"Inlocuiere consumabile cu PV 5473",,,,,,2022-09-30,,,
"Ridicare echipament cu pv 6177",,,,,,2022-09-30,,,
"Predare echipament cu PV 6225",,,,,,2022-09-30,,,
"Calibrare analizor cu PV 6238",,,,,,2022-09-30,,,
"Inlocuiere imprimanta cu Pv 6382",,,,,,2022-09-30,,,
"Inlocuiere consumabile cu pv 6396",,,,,,2022-09-30,,,
"Verificare si inlocuiere consumabile cu PV 09070904",,,,,,2022-09-30,,,
"service Pathfast",,,,,,2022-10-06,,,
"service Pathfast",,,,,,2022-10-06,,,
"preluare analizor GASTAT 735",,,,,,2022-10-06,,,
"service Valleylab FT10",,,,,,2022-10-06,,,
"mentenanta Pathfast",,,,,,2022-10-06,,,
"Verificare ventilator Monnal T60 Pv.6663",,,,,,2022-10-07,,,
"Verificare ventilator Monnal T60 Pv.6664",,,,,,2022-10-07,,,
"Verificare ventilator Monnal T60 Pv.6665",,,,,,2022-10-07,,,
"Verificare ventilator Monnal T60 Pv.6666",,,,,,2022-10-07,,,
"Verificare echipament electrochirurgie Pv.6771",,,,,,2022-10-07,,,
"Verificare Gastat 735 Pv.6772",,,,,,2022-10-07,,,
"Verificare Gastat 735 Pv.6773",,,,,,2022-10-07,,,
"Verificare ventilator Monnal T60 Pv.6774",,,,,,2022-10-07,,,
"Verificare ventilatoare ATI MONNAL T75",,,,,,2022-10-17,,,
"Eroare FS-R cu PV 6602",,,,,,2022-10-25,,,
"Ridicare echipament cu PV 6921",,,,,,2022-10-25,,,
"Copiere date, calibrari esuate cu PV 6923",,,,,,2022-10-25,,,
"Calibrare esuata, NT-proBNP, cu pv 6878",,,,,,2022-10-25,,,
"Predare echipament dupa reparatia acestuia cu PV 6790",,,,,,2022-10-25,,,
"Verificare control OC cu pv 6708",,,,,,2022-10-25,,,
"Predare Pathfast cu PV 6686",,,,,,2022-10-25,,,
"Ridicare echipament cu PV 6604",,,,,,2022-10-25,,,
"Ridicare echipament cu PV 6603",,,,,,2022-10-25,,,
"Verificare echipament cu Pv 7094",,,,,,2022-10-25,,,
"Verificare echipament cu Pv 7094",,,,,,2022-10-25,,,
"Verificare echipament cu PV 7100",,,,,,2022-10-25,,,
"Verificare echipament cu PV 7107",,,,,,2022-10-25,,,
"Verificare echipament cu PV 7123",,,,,,2022-10-25,,,
"Verificare echipament Pathfast ",,,,,,2022-10-25,,,
"Ridicare echipament pentru verificari cu PV 7176",,,,,,2022-10-26,,,
"Predare echipament cu PV 7177",,,,,,2022-10-26,,,
"Inlocuiere electrod  de Referinta cu PV 7202",,,,,,2022-11-01,,,
"verificare + mentenanta GASTAT 735",,,,,,2022-11-01,,,
"mentenanta Pathfast",,,,,,2022-11-01,,,
"service Pathfast",,,,,,2022-11-01,,,
"Verificare periodica PATHFAST - PV 7110",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 6362",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 5731",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 5016",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 4485",,,,,,2022-11-21,,,
"Revizie periodica Gastat Navi PV - 7113",,,,,,2022-11-21,,,
"Revizie periodica Gastat navi PV - 6364",,,,,,2022-11-21,,,
"Revizie periodica Gastat Navi PV - 5729",,,,,,2022-11-21,,,
"Revizie periodica Gastat Navi PV - 5033",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 7112",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 6361",,,,,,2022-11-21,,,
"Interventie/Revizie Pathfast - PV 5276",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 5015",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 4483",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 7111",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 6363",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 5730",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 5017",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 4484",,,,,,2022-11-21,,,
"Interventie Electrocauter PV - 7634",,,,,,2022-11-21,,,
"Interventie Electrocauter PV - 7627",,,,,,2022-11-21,,,
"Revizie periodica Electrocauter PV - 7335",,,,,,2022-11-21,,,
"Interventie Electrocauter PV - 7271",,,,,,2022-11-21,,,
"Interventie Electrocauter PV - 7447",,,,,,2022-11-21,,,
"Interventie Electrocauter PV - 7334",,,,,,2022-11-21,,,
"Interventie Electrocauter PV - 7363",,,,,,2022-11-21,,,
"Revizie periodica Valleylab PV - 7377",,,,,,2022-11-21,,,
"Revizie periodica PATHFAST PV - 7509",,,,,,2022-11-21,,,
"Revizie periodica Valleylab PV - 7536",,,,,,2022-11-21,,,
"Revizie periodica Valleylab PV - 7535",,,,,,2022-11-21,,,
"Revizie periodica Valleylab PV - 7510",,,,,,2022-11-21,,,
"Interventie Pathfast - PV 6395",,,,,,2022-11-21,,,
"Interventie Unyvero PV - 5614",,,,,,2022-11-21,,,
"Interventie Electrocauter PV - 6242",,,,,,2022-11-21,,,
"Interventie Pathfast - PV 6009",,,,,,2022-11-21,,,
"Interventie Pathfast - PV 6284",,,,,,2022-11-21,,,
"Interventie Pathfast - PV 6546",,,,,,2022-11-21,,,
"Interventie Pathfast - PV 5889",,,,,,2022-11-21,,,
"Revizie periodica Gastat Navi PV - 6255",,,,,,2022-11-22,,,
"service GASTAT 735",,,,,,2022-11-29,,,
"mentenanta Gastat 735",,,,,,2022-11-29,,,
"mentenanta Pathfast",,,,,,2022-11-29,,,
"mentenanta Pathfast",,,,,,2022-11-29,,,
"mentenanta Pathfast",,,,,,2022-11-29,,,
"Service MONNAL T60",,,,,,2022-11-29,,,
"Interventie Electrocauter PV - 7885",,,,,,2022-11-29,,,
"Interventie Electrocauter PV - 7969",,,,,,2022-11-29,,,
"Inlocuire efelectrod de referinta cu PV 7202",,,,,,2022-12-12,,,
"Ridicare echipament cu PV 7984",,,,,,2022-12-12,,,
"Verificare echipament cu PV 8116",,,,,,2022-12-12,,,
"Reparatie echipament cu PV 8115",,,,,,2022-12-12,,,
"Predare echipament dupa reparatia acestuia cu PV 7770",,,,,,2022-12-12,,,
"Predare echipament cu PV 8247",,,,,,2022-12-12,,,
"Verificare echipament cu PV 8233",,,,,,2022-12-12,,,
"Predare echipament dupa verificarea acestuia cu PV 8148",,,,,,2022-12-12,,,
"Ridicare echipament cu PV 8202",,,,,,2022-12-12,,,
"Verificare echipament cu PV 8615",,,,,,2022-12-11,2022-12-13,,
"Verificare echipament conform contract cu Pv 8353",,,,,,2023-01-03,,,
"Revizie periodica PATHFAST PV - 8557",,,,,,2023-01-03,,,
"Revizie periodica HEMOCHROM PV - 8559",,,,,,2023-01-03,,,
"Revizie periodica CMI SENSITITRE PV - 8561",,,,,,2023-01-03,,,
"Revizie periodica VERSATREK PV - 8560",,,,,,2023-01-03,,,
"Revizie periodica PATHFAST PV - 8558",,,,,,2023-01-03,,,
"Interventie Pathfast PV - 8184",,,,,,2023-01-03,,,
"Interventie Pathfast PV - 8183",,,,,,2023-01-03,,,
"Interventie Pathfast PV - 8228",,,,,,2023-01-03,,,
"Interventie Pathfast PV - 8292",,,,,,2023-01-03,,,
"Interventie Pathfast - PV 8334",,,,,,2023-01-03,,,
"Interventie Pathfast PV - 8335",,,,,,2023-01-03,,,
"Interventie Pathfast PV - 8526",,,,,,2023-01-03,,,
"Interventie Pathfast - PV 8501",,,,,,2023-01-03,,,
"Interventie Pathfast - PV 8562",,,,,,2023-01-03,,,
"Revizie periodica Gastat Navi PV - 8468",,,,,,2023-01-03,,,
"Revizie periodica Gastat NAVI PV - 7696",,,,,,2023-01-03,,,
"Revizie periodica PATHFAST PV - 8467",,,,,,2023-01-03,,,
"Revizie periodica PATHFAST PV - 8466",,,,,,2023-01-03,,,
"Revizie periodica PATHFAST PV - 8465",,,,,,2023-01-03,,,
"Revizie periodica PATHFAST PV - 7695",,,,,,2023-01-03,,,
"Revizie periodica PATHFAST PV - 7694",,,,,,2023-01-03,,,
"Revizie periodica PATHFAST PV - 7693",,,,,,2023-01-03,,,
"Predare Norma Icon 5 OP Pv.8757",,,,,,2023-01-09,,,
"Predare platforma Valleylab FT10 Pv.8736",,,,,,2023-01-09,,,
"Verificare GASTAT 735",,,,,,2023-01-09,,,
"Verificare platforma Valleylab conform contract. PV7854",,,,,,2023-01-09,,,
"Verificare Gastat 735 Pv.7913",,,,,,2023-01-09,,,
"Predare echipament de electrochirurgie Valleylab ForceTRIAD Pv.7674",,,,,,2023-01-09,,,
"Vericare Pathfast Pv.7594",,,,,,2023-01-09,,,
"Verificare PATHFAST Pv.7534",,,,,,2023-01-09,,,
"Revizie periodica PATHFAST ",,,,,,2023-01-09,,,
"Ridicare platforma electrochirurgicala Valleylab FT10 Pv.7700",,,,,,2023-01-09,,,
"Predare ventilator Monnal T60 ",,,,,,2023-01-09,,,
"Predare Ventilator Monnal T75 ",,,,,,2023-01-09,,,
"Predare ventilator Monnal T75 ",,,,,,2023-01-09,,,
"Verificare platforma Ligasure Pv.7735",,,,,,2023-01-09,,,
"Revizie electrochirurgie PV.7896",,,,,,2023-01-09,,,
"Verificare si constatare defect Pv.8246",,,,,,2023-01-09,,,
"Predare ventilator Monnal T60 Pv.8239",,,,,,2023-01-09,,,
"Verificare ventilator, inlocuire senzor O2 ",,,,,,2023-01-09,,,
"Ridicare platforma electrochirurgie Valleylab Force Fx",,,,,,2023-01-09,,,
"Ridicare ventilator Monnal T60",,,,,,2023-01-09,,,
"Verificare ventilator Monnal T60 Pv.6775",,,,,,2023-01-09,,,
"Verificare echipament Pv.6776",,,,,,2023-01-09,,,
"Ridicare echipament FORCE TRIAD ",,,,,,2023-01-09,,,
"Verificare Pathfast ",,,,,,2023-01-09,,,
"Verificare Pathfast ",,,,,,2023-01-09,,,
"Ridicare pedala monopolar.",,,,,,2023-01-09,,,
"predare Monnal T60",,,,,,2023-01-12,,,
"service Pathfast",,,,,,2023-01-12,,,
"instalare pathfast backup",,,,,,2023-01-12,,,
Test,,,,,,2023-01-19,,,
Test,,,,,,2023-01-20,,,
"Ridicare echipament  cu PV 150",,,,,,2023-01-11,,,
"Ridicare echipament cu PV 188",,,,,,2023-01-12,2023-01-20,,
"Predare echipament cu PV 230",,,,,,2023-01-16,2023-01-20,,
"Predare echipament cu PV 428",,,,,,2023-01-12,2023-01-20,,
"Predare echipament cu PV 289",,,,,,2023-01-26,2023-01-18,,
"Verificare echipament cu pv 328",,,,,,2023-01-18,2023-01-18,,
"Ridicare ventilator Monnal T75",,,,,,2023-01-30,,,
"Verificare ventilator Monnal T60 inlocuire consumabile",,,,,,2023-01-30,2023-01-30,,
"Ridicare ventilator Monnal T75",,,,,,2023-01-30,2023-01-30,,
"Preluare aparat pentru reparatie",,,,,,2023-02-01,2023-02-01,,
"Eroare cover lock",,,,,,2023-02-08,2023-02-08,,
"Verificare conform comanda",,,,,,2023-02-14,2023-02-14,,
"Revizie electrocautere",,,,,,2023-02-19,2023-02-19,,
"Revizie electrocautere",,,,,,2022-12-16,2022-12-16,,
"Revizie electrocautere",,,,,,2022-12-19,2022-12-19,,
"Revizie electrocautere",,,,,,2022-12-16,2022-12-16,,
"Predare aparat",,,,,,2023-02-07,2023-02-07,,
"Preluare aparat Ptf",,,,,,2023-02-01,2023-02-01,,
"Verificare electrocauter",,,,,,2023-01-19,2023-01-19,,
"Verificare Norma",,,,,,2023-01-19,2023-01-19,,
"Revizie electrocautere",,,,,,2022-12-13,2022-12-13,,
"Revizie electrocautere",,,,,,2022-12-09,2022-12-09,,
"Revizie electrocautere",,,,,,2022-12-09,2022-12-09,,
"Revizie electrocautere",,,,,,2022-12-06,2022-12-06,,
"Revizie electrocautere",,,,,,2022-11-29,2022-11-29,,
"Eroare FS-P",,,,,,2022-12-12,2022-12-12,,
"Eroare inchidere usa Ptf",,,,,,2022-10-20,2022-10-20,,
"Predare Ptf",,,,,,2022-10-21,2022-10-21,,
"Predare Ptf",,,,,,2022-10-25,2022-10-25,,
"Revizie Gastat",,,,,,2022-11-01,2022-11-01,,
"Revizie Ptf",,,,,,2022-11-02,2022-11-02,,
"Eroare FS-W",,,,,,2022-11-15,2022-11-15,,
"Eroare temperatura Ptf",,,,,,2022-11-17,2022-11-17,,
"Eroare flow",,,,,,2022-11-14,2022-11-14,,
"Buton Start blocat Ptf",,,,,,2022-12-05,2022-12-05,,
"Inlocuire cablu pedala monopolar",,,,,,2022-12-14,2022-12-14,,
"Eroare Versa Trek- Maria Curie",,,,,,2022-12-23,2022-12-23,,
"PMT fitting error",,,,,,2022-12-28,2022-12-28,,
"Erori calibrare Ptf",,,,,,2022-12-29,2022-12-29,,
"Eroare masurare Hb",,,,,,2022-12-30,2022-12-30,,
"Eroare 04 Pth",,,,,,2023-01-10,2023-01-10,,
"Eroare PMT position",,,,,,2023-01-12,2023-01-12,,
"Eroare calibrare 02",,,,,,2023-01-16,2023-01-16,,
"Pedale monopolar defecte",,,,,,2022-12-08,2022-12-08,,
"Revizie Ptf",,,,,,2022-12-08,2022-12-08,,
"Revizie electrocautere",,,,,,2022-12-08,2022-12-08,,
"Revizie Ptf",,,,,,2022-12-08,2022-12-08,,
"Eroare FS-W",,,,,,2022-12-20,2022-12-20,,
"Revizie electrocautere",,,,,,2022-11-08,2022-11-08,,
"Revizie Ptf",,,,,,2022-11-08,2022-11-08,,
"Revizie Ptf",,,,,,2022-10-20,2022-10-20,,
"Revizie Ptf",,,,,,2022-11-21,2022-11-21,,
"Revizie analizor hemoleucograma",,,,,,2022-11-21,2022-11-21,,
"Revizie Ptf",,,,,,2022-11-18,2022-11-18,,
"Revizie Ptf",,,,,,2022-11-18,2022-11-18,,
"Revizie Ptf",,,,,,2022-11-18,2022-11-18,,
"Predare Valleylab dupa reparatie",,,,,,2022-11-23,2022-11-23,,
"Revizie electrocautere",,,,,,2022-11-17,2022-11-17,,
"Revizie Ptf",,,,,,2022-10-07,2022-10-07,,
"Revizie electrocautere",,,,,,2022-10-07,2022-10-07,,
"Revizie Ptf",,,,,,2022-10-07,2022-10-07,,
"Reparatie electrocauter",,,,,,2022-10-25,2022-10-25,,
"Inlocuire port FT 10",,,,,,2022-11-04,2022-11-04,,
"Verificare functionare aparate",,,,,,2022-10-18,2022-10-18,,
"Verificare functionare Gastat",,,,,,2022-10-17,2022-10-17,,
"Revizie electrocautere",,,,,,2022-10-18,2022-10-18,,
"Predare Valleylab dupa reparatie",,,,,,2022-10-17,2022-10-17,,
"Predare Ptf dupa reparatie",,,,,,2022-10-13,2022-10-13,,
"Verificare echipament",,,,,,2023-02-06,2023-02-06,,
"Verificare echipament",,,,,,2023-02-23,2023-02-23,,
"Predare echipament",,,,,,2023-02-27,2023-02-02,,
"Ridicare echipament",,,,,,2023-02-08,2023-02-08,,
"Predare echipament",,,,,,2023-02-08,2023-02-08,,
"Revizie electrocautere",,,,,,2023-02-15,2023-02-15,,
"Revizie electrocautere",,,,,,2023-02-07,2023-02-07,,
"Revizie Ptf",,,,,,2023-02-07,2023-02-07,,
"Revizie Ptf",,,,,,2023-02-07,2023-02-07,,
"Constatare defectiune Unyvero",,,,,,2023-02-07,2023-02-07,,
"Eroare detectie flush",,,,,,2023-02-03,2023-02-03,,
"verificari Valleylab -",,,,,,2023-03-07,2023-03-07,,
"Predare echiipament",,,,,,2023-03-15,2023-03-15,,
"service Pathfast - pv 1530",,,,,,2023-03-07,2023-03-07,,
"service Pathfast - pv 1691",,,,,,2023-03-14,2023-03-14,,
"Eroare BCR",,,,,,2023-03-15,2023-03-15,,
"Revizie conform contract",,,,,,2023-03-16,2023-03-20,,
"service Pathfast",,,,,,2023-01-03,2023-01-03,,
"service Monnal T60",,,,,,2023-01-03,2023-01-03,,
"service Pathfast",,,,,,2023-01-04,2023-01-04,,
"service Monnal t60",,,,,,2023-01-05,2023-01-05,,
"service GASTAT",,,,,,2023-01-05,2023-01-05,,
"service Pathfast",,,,,,2023-01-06,2023-01-06,,
"service Gastat",,,,,,2023-01-25,2023-01-25,,
"service GASTAT",,,,,,2023-02-02,2023-02-02,,
"service GASTAT",,,,,,2023-02-02,2023-02-02,,
"service Pathfast",,,,,,2023-02-09,2023-02-09,,
"Service Monnal t60",,,,,,2023-02-09,2023-02-09,,
"service Pathfast",,,,,,2023-02-13,2023-02-13,,
"service Pathfast",,,,,,2023-02-13,2023-02-13,,
"ridicare Maxibio",,,,,,2023-02-13,2023-02-13,,
"service Pathfast",,,,,,2023-02-22,2023-02-22,,
"service Gastat",,,,,,2023-03-01,2023-03-01,,
"service Pathfast",,,,,,2023-03-01,2023-03-01,,
"ridicare Monnal t60",,,,,,2023-03-01,2023-03-01,,
"service Monnal t60",,,,,,2023-03-10,2023-03-10,,
"service GASTAT",,,,,,2023-03-10,2023-03-10,,
"service Pathfast",,,,,,2023-03-03,2023-03-03,,
"ridicare Monnal t60",,,,,,2023-03-06,2023-03-06,,
"service Pathfast",,,,,,2023-03-17,2023-03-17,,
"service Pathfast",,,,,,2023-03-17,2023-03-17,,
"predare Monnal T60",,,,,,2023-03-14,2023-03-14,,
"mentenanta Pathfast",,,,,,2023-03-21,2023-03-21,,
"mentenanta Pathfast",,,,,,2023-03-21,2023-03-21,,
"mentenanta Pathfast",,,,,,2023-03-22,2023-03-22,,
"mentenanta Pathfast",,,,,,2023-03-22,2023-03-22,,
"mentenanta Pathfast",,,,,,2023-03-23,2023-03-23,,
"Verificare functionare Ptf",,,,,,2023-03-21,2023-03-21,,
"Verificare functionare Gastat",,,,,,2023-03-20,2023-03-20,,
"Verificare functionare Ptf",,,,,,2023-03-20,2023-03-20,,
"Pedala monopolar defecta",,,,,,2023-03-20,2023-03-20,,
"upgrade soft Credo",,,,,,2023-03-27,2023-03-27,,
"Verificare electrocautere conform contract.",,,,,,2023-03-24,2023-03-27,,
"Reparatie echipament",,,,,,2023-03-23,2023-03-23,,
"Reparatie echipament",,,,,,2023-03-22,2023-03-28,,
"Reparatie ech",,,,,,2023-03-22,2023-03-28,,
"Verificare echipament",,,,,,2023-03-22,2023-03-22,,
"Verificare echipament",,,,,,2023-03-22,2023-03-22,,
"Verificare echipament",,,,,,2023-03-22,2023-03-22,,
"Verificare conform contract",,,,,,2023-03-08,2023-03-08,,
"Reparatie echipament",,,,,,2023-03-07,2023-03-07,,
"Predare echipament",,,,,,2023-03-07,2023-03-07,,
"Verificare echipament",,,,,,2023-03-07,2023-03-07,,
"Verificare si reparatie",,,,,,2023-03-07,2023-03-07,,
"Verificare echipament",,,,,,2023-03-07,2023-03-07,,
"Predare echipament",,,,,,2023-03-10,2023-03-10,,
"Ridicare echipament",,,,,,2023-03-14,2023-03-14,,
"Ridicare echipament pentru reparatie",,,,,,2023-03-14,2023-03-14,,
"Predare echipament",,,,,,2023-03-20,2023-03-20,,
"Ridicare echipament",,,,,,2023-03-20,2023-03-20,,
"verificari Valleylab -",,,,,,2023-03-28,2023-03-29,,
"verificari Valleylab -",,,,,,2023-03-30,2023-03-30,,
"Inlocuire consumabile Gastat",,,,,,2023-03-03,2023-03-03,,
"Problema de initializare",,,,,,2023-03-13,2023-03-13,,
"Hemochrone Elite",,,,,,2023-03-14,2023-03-14,,
"Hemochrone Elite",,,,,,2023-03-14,2023-03-14,,
"Pathfast eroare calibrare",,,,,,2023-03-17,2023-03-17,,
"Pathfast eroare M0107",,,,,,2023-03-23,2023-03-23,,
"Pathfast D verificare",,,,,,2023-03-29,2023-03-29,,
"Service Pathfast",,,,,,2023-03-28,2023-03-28,,
"Service Pathfast",,,,,,2023-03-28,2023-03-28,,
"Service Monnal T60",,,,,,2023-03-28,2023-03-28,,
"Interventie Pathfast Focsani PV-253",,,,,,2023-01-17,2023-01-17,,
"Interventie Pathfast Bacau PV-254",,,,,,2023-01-17,2023-01-17,,
"Interventie Pathfast Bacau PV-851",,,,,,2023-02-07,2023-02-07,,
"Interventie Valleylab Bacau PV-850",,,,,,2023-02-07,2023-02-07,,
"Interventie Norma Onesti PV-1045",,,,,,2023-02-14,2023-02-14,,
"Interventie Valleylab Bacau PV-1330",,,,,,2023-02-28,2023-02-28,,
"Interventie Valleylab Bacau PV-1249",,,,,,2023-02-23,2023-02-23,,
"Interventie Valleylab Bacau PV-1449",,,,,,2023-03-03,2023-03-03,,
"Interventie Valleylab Bacau PV-1448",,,,,,2023-03-03,2023-03-03,,
"Interventie Valleylab Bacau PV-1967",,,,,,2023-03-24,2023-03-24,,
"Interventie Pathfast Bacau PV-2023",,,,,,2023-03-28,2023-03-28,,
"Interventie Pathfast Vaslui PV-187",,,,,,2023-01-12,2023-01-12,,
"Revizie periodica CMI Sensititre Vaslui PV-1932",,,,,,2023-03-23,2023-03-23,,
"Revizie periodica Hemochrom Vaslui PV-1931",,,,,,2023-03-23,2023-03-23,,
"Revizie periodica Versatrek Vaslui PV-1933",,,,,,2023-03-23,2023-03-23,,
"service Spotchem - pv 2372",,,,,,2023-04-10,2023-04-10,,
"Revizie Ptf",,,,,,2023-04-03,2023-04-03,,
"Revizie electrocautere",,,,,,2023-04-03,2023-04-03,,
"Revizie Ptf",,,,,,2023-04-03,2023-04-03,,
"Predare ventilator dupa reparatie",,,,,,2023-04-10,2023-04-10,,
"Predare Norma Icon 5 OP",,,,,,2023-04-11,2023-04-13,,
"Predare Valleylab FX8",,,,,,2023-04-13,2023-04-18,,
"Predare Valleylab FX8",,,,,,2023-04-13,2023-04-18,,
"Ridicare echipament FX8",,,,,,2023-04-12,2023-04-12,,
"Predare echipament Valleylab ForceTriad dupa reparatie. Pv.2382",,,,,,2023-04-10,2023-04-10,,
"Veridicare echipament Monnal T60 PV.1085",,,,,,2023-02-15,2023-02-17,,
"Verificare analizor Norma Icon 5",,,,,,2023-01-11,2023-01-11,,
"Predare Valleylab Ligasure Pv.841",,,,,,2023-02-03,2023-02-07,,
"Verificare VersaTreck",,,,,,2022-12-05,2022-12-05,,
"Verificare Pahtfast PV.8174",,,,,,2022-12-05,2022-12-05,,
"Preluare ventilator Monnal T60",,,,,,2023-02-17,2023-02-17,,
"Preluare verntilator Monnal T60",,,,,,2023-02-17,2023-02-17,,
"Ridicare ventilator Monnal T60 Pv.906",,,,,,2023-02-08,2023-02-08,,
"Ridicare Spotchem EZ PV.1671",,,,,,2023-03-13,2023-03-13,,
"Ridicare analizor Pathfast",,,,,,2023-03-08,2023-03-08,,
"Predare ventilator Monnal T75",,,,,,2023-03-22,2023-03-22,,
"Ridicare electrocauter defect.",,,,,,2023-03-14,2023-03-14,,
"Ridicare Valleylab ForceTriad",,,,,,2023-03-31,2023-03-31,,
"Verificare ventilatoare de transport Monnal T60 Pv.1954",,,,,,2023-03-22,2023-03-22,,
"Predare ventilator Monnal T75 dupa reparatie.",,,,,,2023-03-22,2023-03-22,,
"Revizie periodica Pathfast PV.1953",,,,,,2023-03-23,2023-03-23,,
"Verificare echipament Gastat 735",,,,,,2023-03-22,2023-03-22,,
"Curatare analizor PATHFAST",,,,,,2023-03-31,2023-03-31,,
"Ridicare ventilator Monnal T60",,,,,,2023-04-06,2023-04-06,,
"Remediere defect Gastat 735",,,,,,2023-04-05,2023-04-05,,
"Ridicare ventilator Monnal T60",,,,,,2023-03-02,2023-03-02,,
"Predare Ventilator dupa reparatie PV.1429",,,,,,2023-03-02,2023-03-02,,
"Predare Ventilator Monnal T60 Pv.1427",,,,,,2023-03-02,2023-03-02,,
